title,original_language
toy story,en
jumanji,en
grumpier old men,en
waiting to exhale,en
father of the bride part ii,en
heat,en
sabrina,en
tom and huck,en
sudden death,en
goldeneye,en
the american president,en
dracula: dead and loving it,en
balto,en
nixon,en
cutthroat island,en
casino,en
sense and sensibility,en
four rooms,en
ace ventura: when nature calls,en
money train,en
get shorty,en
copycat,en
assassins,en
powder,en
leaving las vegas,en
othello,en
now and then,en
persuasion,en
the city of lost children,fr
shanghai triad,zh
dangerous minds,en
twelve monkeys,en
wings of courage,fr
babe,en
carrington,en
dead man walking,en
across the sea of time,en
it takes two,en
clueless,en
"cry, the beloved country",en
richard iii,en
dead presidents,en
restoration,en
mortal kombat,en
to die for,en
how to make an american quilt,en
se7en,en
pocahontas,en
when night is falling,en
the usual suspects,en
guardian angel,en
mighty aphrodite,en
lamerica,it
the big green,en
georgia,en
kids of the round table,en
home for the holidays,en
the postman,it
the confessional,fr
the indian in the cupboard,en
eye for an eye,en
mr. holland's opus,en
don't be a menace to south central while drinking your juice in the hood,en
two if by sea,en
bio-dome,en
lawnmower man 2: beyond cyberspace,en
two bits,en
french twist,fr
friday,en
from dusk till dawn,en
fair game,en
kicking and screaming,en
les miserables,fr
bed of roses,en
big bully,en
screamers,en
nico icon,en
the crossing guard,en
the juror,en
the white balloon,fa
things to do in denver when you're dead,en
antonia's line,nl
once upon a time... when we were colored,en
last summer in the hamptons,en
angels and insects,en
white squall,en
dunston checks in,en
black sheep,en
nick of time,en
the journey of august king,en
mary reilly,en
vampire in brooklyn,en
beautiful girls,en
broken arrow,en
a midwinter's tale,en
la haine,fr
shopping,en
heidi fleiss: hollywood madam,en
city hall,en
bottle rocket,en
mr. wrong,en
unforgettable,en
happy gilmore,en
the bridges of madison county,en
nobody loves me,de
muppet treasure island,en
catwalk,en
headless body in topless bar,en
braveheart,en
taxi driver,en
rumble in the bronx,cn
before and after,en
margaret's museum,en
happiness is in the field,en
anne frank remembered,en
the young poisoner's handbook,en
if lucy fell,en
steal big steal little,en
race the sun,en
the boys of st. vincent,en
boomerang,en
chungking express,cn
the star maker,it
flirting with disaster,en
the neverending story iii: escape from fantasia,en
the silences of the palace,ar
jupiter's wife,en
pie in the sky,en
angela,en
frankie starlight,it
jade,en
nueba yol,es
sonic outlaws,en
down periscope,en
from the journals of jean seberg,en
man of the year,en
the neon bible,en
target,en
up close & personal,en
the birdcage,en
virgin mary,en
the brothers mcmullen,en
bad boys,en
the amazing panda adventure,en
the basketball diaries,en
an awfully big adventure,en
amateur,en
apollo 13,en
rob roy,en
the addiction,en
batman forever,en
belle de jour,fr
beyond rangoon,en
blue in the face,en
canadian bacon,en
casper,en
clockers,en
congo,en
crimson tide,en
crumb,en
desperado,en
devil in a blue dress,en
die hard: with a vengeance,en
the doom generation,en
feast of july,en
first knight,en
free willy 2 - the adventure home,en
hackers,en
jeffrey,en
johnny mnemonic,en
judge dredd,en
jury duty,en
kids,en
living in oblivion,en
lord of illusions,en
love & human remains,en
mad love,en
mallrats,en
mighty morphin power rangers: the movie,en
moonlight and valentino,en
mute witness,en
nadja,en
the net,en
nine months,en
party girl,en
the prophecy,en
reckless,en
safe,en
the scarlet letter,en
the show,en
showgirls,en
smoke,en
something to talk about,en
species,en
the stars fell on henrietta,en
strange days,en
the umbrellas of cherbourg,fr
the tie that binds,en
three wishes,en
total eclipse,en
"to wong foo, thanks for everything! julie newmar",en
under siege 2: dark territory,en
unstrung heroes,en
unzipped,en
a walk in the clouds,en
waterworld,en
white man's burden,en
wild bill,en
the browning version,en
bushwhacked,en
burnt by the sun,ru
before the rain,en
before sunrise,en
billy madison,en
the babysitter,en
boys on the side,en
the cure,en
castle freak,en
circle of friends,en
clerks,en
don juan demarco,en
disclosure,en
dream man,en
drop zone,en
destiny turns on the radio,it
death and the maiden,en
dolores claiborne,en
dumb and dumber,en
eat drink man woman,zh
exotica,en
exit to eden,en
ed wood,en
french kiss,en
forget paris,en
far from home: the adventures of yellow dog,en
a goofy movie,en
hideaway,en
fluke,en
farinelli,fr
gordy,en
gumby: the movie,en
the glass shield,en
hoop dreams,en
heavenly creatures,en
houseguest,en
immortal beloved,en
heavyweights,en
the hunted,en
i.q.,en
interview with the vampire,en
jefferson in paris,en
the jerky boys,en
junior,en
just cause,en
a kid in king arthur's court,en
kiss of death,en
star wars,en
little women,en
a little princess,en
ladybird ladybird,en
l'enfer,fr
like water for chocolate,es
legends of the fall,en
major payne,en
little odessa,en
mi vida loca,en
love affair,en
losing isaiah,en
the madness of king george,en
mary shelley's frankenstein,en
man of the house,en
mixed nuts,en
milk money,en
miracle on 34th street,en
miami rhapsody,en
my family,en
murder in the first,en
nobody's fool,en
nell,en
new jersey drive,en
