title,runtime,release_year
toy story,81.0,1995
jumanji,104.0,1995
grumpier old men,101.0,1995
waiting to exhale,127.0,1995
father of the bride part ii,106.0,1995
heat,170.0,1995
sabrina,127.0,1995
tom and huck,97.0,1995
sudden death,106.0,1995
goldeneye,130.0,1995
the american president,106.0,1995
dracula: dead and loving it,88.0,1995
balto,78.0,1995
nixon,192.0,1995
cutthroat island,119.0,1995
casino,178.0,1995
sense and sensibility,136.0,1995
four rooms,98.0,1995
ace ventura: when nature calls,90.0,1995
money train,103.0,1995
get shorty,105.0,1995
copycat,124.0,1995
assassins,132.0,1995
powder,111.0,1995
leaving las vegas,112.0,1995
othello,123.0,1995
now and then,100.0,1995
persuasion,104.0,1995
the city of lost children,108.0,1995
shanghai triad,108.0,1995
dangerous minds,99.0,1995
twelve monkeys,129.0,1995
wings of courage,50.0,1996
babe,89.0,1995
carrington,121.0,1995
dead man walking,122.0,1995
across the sea of time,51.0,1995
it takes two,101.0,1995
clueless,97.0,1995
"cry, the beloved country",106.0,1995
richard iii,104.0,1995
dead presidents,119.0,1995
restoration,117.0,1995
mortal kombat,101.0,1995
to die for,106.0,1995
how to make an american quilt,116.0,1995
se7en,127.0,1995
pocahontas,81.0,1995
when night is falling,96.0,1995
the usual suspects,106.0,1995
guardian angel,93.0,1994
mighty aphrodite,95.0,1995
lamerica,116.0,1994
the big green,100.0,1995
georgia,115.0,1995
kids of the round table,89.0,1997
home for the holidays,103.0,1995
the postman,108.0,1994
the confessional,100.0,1995
the indian in the cupboard,96.0,1995
eye for an eye,101.0,1996
mr. holland's opus,137.0,1995
don't be a menace to south central while drinking your juice in the hood,89.0,1996
two if by sea,96.0,1996
bio-dome,88.0,1996
lawnmower man 2: beyond cyberspace,92.0,1996
two bits,85.0,1995
french twist,95.0,1995
friday,91.0,1995
from dusk till dawn,108.0,1996
fair game,91.0,1995
kicking and screaming,96.0,1995
les miserables,175.0,1995
bed of roses,87.0,1996
big bully,90.0,1996
screamers,108.0,1995
nico icon,70.0,1995
the crossing guard,111.0,1995
the juror,118.0,1996
the white balloon,85.0,1995
things to do in denver when you're dead,116.0,1995
antonia's line,102.0,1995
once upon a time... when we were colored,115.0,1996
last summer in the hamptons,108.0,1995
angels and insects,118.0,1995
white squall,129.0,1996
dunston checks in,88.0,1996
black sheep,87.0,1996
nick of time,90.0,1995
the journey of august king,91.0,1995
mary reilly,104.0,1996
vampire in brooklyn,100.0,1995
beautiful girls,112.0,1996
broken arrow,108.0,1996
a midwinter's tale,99.0,1995
la haine,98.0,1995
shopping,105.0,1994
heidi fleiss: hollywood madam,106.0,1995
city hall,111.0,1996
bottle rocket,91.0,1996
mr. wrong,96.0,1996
unforgettable,106.0,1996
happy gilmore,92.0,1996
the bridges of madison county,135.0,1995
nobody loves me,104.0,1994
muppet treasure island,100.0,1996
catwalk,95.0,1995
headless body in topless bar,110.0,1995
braveheart,177.0,1995
taxi driver,114.0,1976
rumble in the bronx,91.0,1995
before and after,108.0,1996
margaret's museum,114.0,1995
happiness is in the field,106.0,1995
anne frank remembered,117.0,1995
the young poisoner's handbook,99.0,1995
if lucy fell,92.0,1996
steal big steal little,113.0,1995
race the sun,100.0,1996
the boys of st. vincent,90.0,1992
boomerang,117.0,1992
chungking express,102.0,1994
the star maker,113.0,1995
flirting with disaster,92.0,1996
the neverending story iii: escape from fantasia,95.0,1994
the silences of the palace,116.0,1994
jupiter's wife,87.0,1995
pie in the sky,95.0,1996
angela,99.0,1995
frankie starlight,101.0,1995
jade,95.0,1995
nueba yol,102.0,1995
sonic outlaws,87.0,1995
down periscope,92.0,1996
from the journals of jean seberg,97.0,1995
man of the year,86.0,1995
the neon bible,91.0,1995
target,122.0,1995
up close & personal,119.0,1996
the birdcage,117.0,1996
virgin mary,125.0,1995
the brothers mcmullen,98.0,1995
bad boys,118.0,1995
the amazing panda adventure,81.0,1995
the basketball diaries,102.0,1995
an awfully big adventure,113.0,1995
amateur,105.0,1994
apollo 13,140.0,1995
rob roy,139.0,1995
the addiction,82.0,1995
batman forever,121.0,1995
belle de jour,101.0,1967
beyond rangoon,100.0,1995
blue in the face,83.0,1995
canadian bacon,91.0,1995
casper,100.0,1995
clockers,128.0,1995
congo,109.0,1995
crimson tide,116.0,1995
crumb,119.0,1994
desperado,104.0,1995
devil in a blue dress,102.0,1995
die hard: with a vengeance,128.0,1995
the doom generation,80.0,1995
feast of july,116.0,1995
first knight,134.0,1995
free willy 2 - the adventure home,95.0,1995
hackers,107.0,1995
jeffrey,92.0,1995
johnny mnemonic,97.0,1995
judge dredd,96.0,1995
jury duty,88.0,1995
kids,91.0,1995
living in oblivion,89.0,1995
lord of illusions,119.0,1995
love & human remains,100.0,1993
mad love,95.0,1995
mallrats,94.0,1995
