title,production_countries
Toy Story,['united states of america']
Jumanji,['united states of america']
Grumpier Old Men,['united states of america']
Waiting to Exhale,['united states of america']
Father of the Bride Part II,['united states of america']
Heat,['united states of america']
Sabrina,"['germany', 'united states of america']"
Tom and Huck,['united states of america']
Sudden Death,['united states of america']
GoldenEye,"['united kingdom', 'united states of america']"
The American President,['united states of america']
Dracula: Dead and Loving It,"['france', 'united states of america']"
Balto,['united states of america']
Nixon,['united states of america']
Cutthroat Island,"['france', 'germany', 'italy', 'united states of america']"
Casino,"['france', 'united states of america']"
Sense and Sensibility,"['united kingdom', 'united states of america']"
Four Rooms,['united states of america']
Ace Ventura: When Nature Calls,['united states of america']
Money Train,['united states of america']
Get Shorty,['united states of america']
Copycat,['united states of america']
Assassins,"['france', 'united states of america']"
Powder,['united states of america']
Leaving Las Vegas,['united states of america']
Othello,['italy']
Now and Then,['united states of america']
Persuasion,"['united kingdom', 'france']"
The City of Lost Children,"['france', 'germany', 'spain']"
Shanghai Triad,"['china', 'france']"
Dangerous Minds,['united states of america']
Twelve Monkeys,['united states of america']
Wings of Courage,"['france', 'united states of america']"
Babe,"['australia', 'united states of america']"
Carrington,"['france', 'united kingdom']"
Dead Man Walking,"['united states of america', 'united kingdom']"
Across the Sea of Time,['united states of america']
It Takes Two,['united states of america']
Clueless,['united states of america']
"Cry, the Beloved Country",['south africa']
Richard III,"['united kingdom', 'united states of america']"
Dead Presidents,['united states of america']
Restoration,['united states of america']
Mortal Kombat,['united states of america']
To Die For,['united states of america']
How To Make An American Quilt,['united states of america']
Se7en,['united states of america']
Pocahontas,['united states of america']
When Night Is Falling,['canada']
The Usual Suspects,['united states of america']
Guardian Angel,
Mighty Aphrodite,['united states of america']
Lamerica,"['italy', 'france', 'switzerland']"
The Big Green,['united states of america']
Georgia,"['france', 'united states of america']"
Kids of the Round Table,
Home for the Holidays,['united states of america']
The Postman,"['belgium', 'france', 'italy']"
The Confessional,['canada']
The Indian in the Cupboard,['united states of america']
Eye for an Eye,['united states of america']
Mr. Holland's Opus,['united states of america']
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['united states of america']
Two If by Sea,['united states of america']
Bio-Dome,['united states of america']
Lawnmower Man 2: Beyond Cyberspace,['united states of america']
Two Bits,['united states of america']
French Twist,['france']
Friday,['united states of america']
From Dusk Till Dawn,['united states of america']
Fair Game,['united states of america']
Kicking and Screaming,['united states of america']
Les Miserables,['france']
Bed of Roses,['united states of america']
Big Bully,['united states of america']
Screamers,"['canada', 'japan', 'united states of america']"
Nico Icon,"['germany', 'united states of america']"
The Crossing Guard,['united states of america']
The Juror,['united states of america']
The White Balloon,['iran']
Things to Do in Denver When You're Dead,['united states of america']
Antonia's Line,"['netherlands', 'united kingdom', 'belgium']"
Once Upon a Time... When We Were Colored,['united states of america']
Last Summer in the Hamptons,
Angels and Insects,"['united kingdom', 'united states of america']"
White Squall,['united states of america']
Dunston Checks In,['united states of america']
Black Sheep,['united states of america']
Nick of Time,['united states of america']
The Journey of August King,['united states of america']
Mary Reilly,['united states of america']
Vampire in Brooklyn,['united states of america']
Beautiful Girls,['united states of america']
Broken Arrow,['united states of america']
A Midwinter's Tale,['united kingdom']
La Haine,['france']
Shopping,['united kingdom']
Heidi Fleiss: Hollywood Madam,"['united kingdom', 'canada', 'united states of america', 'germany']"
City Hall,['united states of america']
Bottle Rocket,['united states of america']
Mr. Wrong,['united states of america']
Unforgettable,['united states of america']
Happy Gilmore,['united states of america']
The Bridges of Madison County,['united states of america']
Nobody Loves Me,['germany']
Muppet Treasure Island,['united states of america']
Catwalk,
Headless Body in Topless Bar,
Braveheart,['united states of america']
Taxi Driver,['united states of america']
Rumble in the Bronx,['hong kong']
Before and After,['united states of america']
Margaret's Museum,"['canada', 'united kingdom']"
Happiness Is in the Field,['france']
Anne Frank Remembered,"['united kingdom', 'united states of america', 'netherlands']"
The Young Poisoner's Handbook,"['germany', 'france', 'united kingdom']"
If Lucy Fell,['united states of america']
Steal Big Steal Little,['united states of america']
Race the Sun,['united states of america']
The Boys of St. Vincent,['canada']
Boomerang,['united states of america']
Chungking Express,['hong kong']
The Star Maker,['italy']
Flirting with Disaster,['united states of america']
The Neverending Story III: Escape from Fantasia,"['germany', 'united states of america']"
The Silences of the Palace,"['tunisia', 'france']"
Jupiter's Wife,
Pie in the Sky,
Angela,['united states of america']
Frankie Starlight,"['united kingdom', 'united states of america', 'france', 'ireland']"
Jade,['united states of america']
Nueba Yol,['dominican republic']
Sonic Outlaws,['united states of america']
Down Periscope,['united states of america']
From the Journals of Jean Seberg,['united states of america']
Man of the Year,['united states of america']
The Neon Bible,['united kingdom']
Target,
Up Close & Personal,['united states of america']
The Birdcage,['united states of america']
Virgin Mary,"['croatia', 'canada', 'united states of america']"
The Brothers McMullen,['united states of america']
Bad Boys,['united states of america']
The Amazing Panda Adventure,['united states of america']
The Basketball Diaries,['united states of america']
An Awfully Big Adventure,['united kingdom']
Amateur,"['france', 'united kingdom', 'united states of america']"
Apollo 13,['united states of america']
Rob Roy,"['united kingdom', 'united states of america']"
The Addiction,['united states of america']
Batman Forever,"['united kingdom', 'united states of america']"
Belle de Jour,"['france', 'italy']"
Beyond Rangoon,
Blue in the Face,['united states of america']
Canadian Bacon,"['canada', 'united states of america']"
Casper,['united states of america']
Clockers,['united states of america']
Congo,['united states of america']
Crimson Tide,['united states of america']
Crumb,['united states of america']
Desperado,['united states of america']
Devil in a Blue Dress,['united states of america']
Die Hard: With a Vengeance,['united states of america']
The Doom Generation,"['france', 'united states of america']"
Feast of July,
First Knight,['united states of america']
Free Willy 2 - The Adventure Home,"['france', 'united states of america']"
Hackers,['united states of america']
Jeffrey,['united states of america']
Johnny Mnemonic,"['canada', 'united states of america']"
Judge Dredd,['united states of america']
Jury Duty,['united states of america']
Kids,['united states of america']
Living in Oblivion,['united states of america']
Lord of Illusions,['united states of america']
Love & Human Remains,['canada']
Mad Love,['united states of america']
Mallrats,['united states of america']
Mighty Morphin Power Rangers: The Movie,"['japan', 'united states of america']"
Moonlight and Valentino,"['united kingdom', 'united states of america']"
Mute Witness,"['germany', 'russia', 'united kingdom', 'united states of america']"
Nadja,['united states of america']
The Net,['united states of america']
Nine Months,['united states of america']
Party Girl,['united states of america']
The Prophecy,['united states of america']
Reckless,['united states of america']
Safe,"['united kingdom', 'united states of america']"
The Scarlet Letter,['united states of america']
The Show,
Showgirls,"['france', 'united states of america']"
Smoke,"['germany', 'japan', 'united states of america']"
Something to Talk About,['united states of america']
Species,['united states of america']
The Stars Fell on Henrietta,['united states of america']
Strange Days,['united states of america']
The Umbrellas of Cherbourg,"['germany', 'france']"
The Tie That Binds,['united states of america']
Three Wishes,['united states of america']
Total Eclipse,"['france', 'belgium', 'united kingdom']"
"To Wong Foo, Thanks for Everything! Julie Newmar",['united states of america']
Under Siege 2: Dark Territory,['united states of america']
Unstrung Heroes,
Unzipped,['united states of america']
A Walk in the Clouds,['united states of america']
Waterworld,['united states of america']
White Man's Burden,"['france', 'united states of america']"
Wild Bill,
The Browning Version,['united kingdom']
Bushwhacked,['united states of america']
Burnt by the Sun,"['france', 'russia']"
Before the Rain,"['united kingdom', 'macedonia', 'france']"
Before Sunrise,"['austria', 'switzerland', 'united states of america']"
Billy Madison,['united states of america']
The Babysitter,['united states of america']
Boys on the Side,"['france', 'united states of america']"
The Cure,['united states of america']
Castle Freak,['united states of america']
Circle of Friends,"['ireland', 'united kingdom']"
Clerks,['united states of america']
Don Juan DeMarco,['united states of america']
Disclosure,['united states of america']
Dream Man,"['united states of america', 'canada']"
Drop Zone,['united states of america']
Destiny Turns on the Radio,['united states of america']
Death and the Maiden,"['united states of america', 'france', 'united kingdom']"
Dolores Claiborne,['united states of america']
Dumb and Dumber,['united states of america']
Eat Drink Man Woman,"['taiwan', 'united states of america']"
