production_companies,title,revenue
['pixar animation studios'],Toy Story,373554033.0
"['tristar pictures', 'teitler film', 'interscope communications']",Jumanji,262797249.0
"['warner bros.', 'lancaster gate']",Grumpier Old Men,0.0
['twentieth century fox film corporation'],Waiting to Exhale,81452156.0
"['sandollar productions', 'touchstone pictures']",Father of the Bride Part II,76578911.0
"['regency enterprises', 'forward pass', 'warner bros.']",Heat,187436818.0
"['paramount pictures', 'scott rudin productions', 'mirage enterprises', 'sandollar productions', 'constellation entertainment', 'worldwide', 'mont blanc entertainment gmbh']",Sabrina,0.0
['walt disney pictures'],Tom and Huck,0.0
"['universal pictures', 'imperial entertainment', 'signature entertainment']",Sudden Death,64350171.0
"['united artists', 'eon productions']",GoldenEye,352194034.0
"['columbia pictures', 'castle rock entertainment']",The American President,107879496.0
"['columbia pictures', 'castle rock entertainment', 'enigma pictures']",Dracula: Dead and Loving It,0.0
"['universal pictures', 'amblin entertainment', 'amblimation']",Balto,11348324.0
"['hollywood pictures', 'cinergi pictures entertainment']",Nixon,13681765.0
"['le studio canal+', 'laurence mark productions', 'metro-goldwyn-mayer (mgm)', 'carolco pictures']",Cutthroat Island,10017322.0
"['universal pictures', 'légende entreprises', 'syalis da', 'de fina-cappa']",Casino,116112375.0
"['columbia pictures corporation', 'mirage enterprises']",Sense and Sensibility,135000000.0
"['miramax films', 'a band apart']",Four Rooms,4300000.0
"['o entertainment', 'warner bros.', 'morgan creek productions']",Ace Ventura: When Nature Calls,212385533.0
['columbia pictures'],Money Train,35431113.0
"['jersey films', 'metro-goldwyn-mayer (mgm)']",Get Shorty,115101622.0
"['regency enterprises', 'new regency pictures']",Copycat,0.0
"['silver pictures', 'canal+', 'warner bros.', 'dino de laurentiis company', 'donner/shuler-donner productions', 'evansgideon/lazar']",Assassins,30303072.0
"['caravan pictures', 'hollywood pictures']",Powder,0.0
"['united artists', 'intial productions']",Leaving Las Vegas,49800000.0
"['columbia pictures', 'castle rock entertainment']",Othello,0.0
['new line cinema'],Now and Then,27400000.0
['bbc films'],Persuasion,0.0
"['procirep', 'constellation productions', 'france 3 cinéma', 'claudie ossard productions', 'eurimages', 'media programme of the european union', 'cofimage 5', 'televisión española (tve)', 'tele münchen fernseh produktionsgesellschaft (tmg)', ""club d'investissement média"", 'canal+ españa', 'elías querejeta producciones cinematográficas s.l.', 'centre national de la cinématographie (cnc)', 'victoires productions', 'constellation', 'lumière pictures', 'canal+', 'studio image', 'cofimage 4', 'ossane', 'phoenix images']",The City of Lost Children,1738611.0
"['ministère des affaires étrangères', 'alpha films', 'la sept cinéma']",Shanghai Triad,0.0
"['hollywood pictures', 'via rosa productions', 'don simpson/jerry bruckheimer films']",Dangerous Minds,180000000.0
"['universal pictures', 'atlas entertainment', 'classico']",Twelve Monkeys,168840000.0
['iwerks entertainment'],Wings of Courage,0.0
"['universal pictures', 'kennedy miller productions']",Babe,254134910.0
"['studiocanal', 'cinéa', 'euston films', 'freeway films', 'european co-production fund', 'polygram filmed entertainment', 'orsans productions']",Carrington,0.0
"['havoc', 'polygram filmed entertainment', 'working title films']",Dead Man Walking,39363635.0
['sony new technologies'],Across the Sea of Time,0.0
