crew,title,release_date,return,budget,revenue
['john lasseter'],Toy Story,1995-10-30,12.4518011,30000000.0,373554033.0
['joe johnston'],Jumanji,1995-12-15,4.0430346,65000000.0,262797249.0
['howard deutch'],Grumpier Old Men,1995-12-22,0.0,0.0,0.0
['forest whitaker'],Waiting to Exhale,1995-12-22,5.09075975,16000000.0,81452156.0
['charles shyer'],Father of the Bride Part II,1995-02-10,inf,0.0,76578911.0
['michael mann'],Heat,1995-12-15,3.123946966666667,60000000.0,187436818.0
['sydney pollack'],Sabrina,1995-12-15,0.0,58000000.0,0.0
['peter hewitt'],Tom and Huck,1995-12-22,0.0,0.0,0.0
['peter hyams'],Sudden Death,1995-12-22,1.8385763142857143,35000000.0,64350171.0
['martin campbell'],GoldenEye,1995-11-16,6.072310931034483,58000000.0,352194034.0
['rob reiner'],The American President,1995-11-17,1.739991870967742,62000000.0,107879496.0
['mel brooks'],Dracula: Dead and Loving It,1995-12-22,0.0,0.0,0.0
['simon wells'],Balto,1995-12-22,inf,0.0,11348324.0
['oliver stone'],Nixon,1995-12-22,0.3109492045454545,44000000.0,13681765.0
['renny harlin'],Cutthroat Island,1995-12-22,0.1022175714285714,98000000.0,10017322.0
['martin scorsese'],Casino,1995-11-22,2.2329302884615383,52000000.0,116112375.0
['ang lee'],Sense and Sensibility,1995-12-13,8.181818181818182,16500000.0,135000000.0
['allison anders'],Four Rooms,1995-12-09,1.075,4000000.0,4300000.0
['steve oedekerk'],Ace Ventura: When Nature Calls,1995-11-10,7.079517766666667,30000000.0,212385533.0
['joseph ruben'],Money Train,1995-11-21,0.59051855,60000000.0,35431113.0
['barry sonnenfeld'],Get Shorty,1995-10-20,3.805012297520661,30250000.0,115101622.0
['jon amiel'],Copycat,1995-10-27,0.0,0.0,0.0
['richard donner'],Assassins,1995-10-06,0.60606144,50000000.0,30303072.0
['victor salva'],Powder,1995-10-27,0.0,0.0,0.0
['mike figgis'],Leaving Las Vegas,1995-10-27,13.833333333333334,3600000.0,49800000.0
['oliver parker'],Othello,1995-12-15,0.0,0.0,0.0
['lesli linka glatter'],Now and Then,1995-10-20,2.283333333333333,12000000.0,27400000.0
['roger michell'],Persuasion,1995-09-27,0.0,0.0,0.0
['jean-pierre jeunet'],The City of Lost Children,1995-05-16,0.0965895,18000000.0,1738611.0
['zhang yimou'],Shanghai Triad,1995-04-30,0.0,0.0,0.0
['john n. smith'],Dangerous Minds,1995-08-11,inf,0.0,180000000.0
['terry gilliam'],Twelve Monkeys,1995-12-29,5.7233898305084745,29500000.0,168840000.0
['jean-jacques annaud'],Wings of Courage,1996-09-18,0.0,0.0,0.0
['chris noonan'],Babe,1995-07-18,8.471163666666667,30000000.0,254134910.0
['christopher hampton'],Carrington,1995-11-08,0.0,0.0,0.0
['tim robbins'],Dead Man Walking,1995-12-29,3.5785122727272727,11000000.0,39363635.0
['stephen low'],Across the Sea of Time,1995-10-20,0.0,0.0,0.0
['andy tennant'],It Takes Two,1995-11-17,0.0,0.0,0.0
['amy heckerling'],Clueless,1995-07-19,0.0,12000000.0,0.0
['darrell james roodt'],"Cry, the Beloved Country",1995-12-15,inf,0.0,676525.0
['richard loncraine'],Richard III,1995-12-29,0.0,0.0,0.0
['albert hughes'],Dead Presidents,1995-10-06,0.0,10000000.0,0.0
['michael hoffman'],Restoration,1995-12-29,0.0,19000000.0,0.0
['paul w.s. anderson'],Mortal Kombat,1995-08-18,6.788662222222222,18000000.0,122195920.0
['gus van sant'],To Die For,1995-05-20,1.0642257,20000000.0,21284514.0
['jocelyn moorhouse'],How To Make An American Quilt,1995-10-06,2.357413,10000000.0,23574130.0
['david fincher'],Se7en,1995-09-22,9.91854118181818,33000000.0,327311859.0
['mike gabriel'],Pocahontas,1995-06-14,6.292359509090909,55000000.0,346079773.0
['patricia rozema'],When Night Is Falling,1995-05-05,0.0,0.0,0.0
['bryan singer'],The Usual Suspects,1995-07-19,3.890261333333333,6000000.0,23341568.0
['richard w. munchkin'],Guardian Angel,1994-11-22,0.0,0.0,0.0
