,crew,id
0,['John Lasseter'],862
1,['Joe Johnston'],8844
2,['Howard Deutch'],15602
3,['Forest Whitaker'],31357
4,['Charles Shyer'],11862
5,['Michael Mann'],949
6,['Sydney Pollack'],11860
7,['Peter Hewitt'],45325
8,['Peter Hyams'],9091
9,['Martin Campbell'],710
10,['Rob Reiner'],9087
11,['Mel Brooks'],12110
12,['Simon Wells'],21032
13,['Oliver Stone'],10858
14,['Renny Harlin'],1408
15,['Martin Scorsese'],524
16,['Ang Lee'],4584
17,['Allison Anders'],5
18,['Steve Oedekerk'],9273
19,['Joseph Ruben'],11517
20,['Barry Sonnenfeld'],8012
21,['Jon Amiel'],1710
22,['Richard Donner'],9691
23,['Victor Salva'],12665
24,['Mike Figgis'],451
25,['Oliver Parker'],16420
26,['Lesli Linka Glatter'],9263
27,['Roger Michell'],17015
28,['Jean-Pierre Jeunet'],902
29,['Zhang Yimou'],37557
30,['John N. Smith'],9909
31,['Terry Gilliam'],63
32,['Jean-Jacques Annaud'],78802
33,['Chris Noonan'],9598
34,['Christopher Hampton'],47018
35,['Tim Robbins'],687
36,['Stephen Low'],139405
37,['Andy Tennant'],33689
38,['Amy Heckerling'],9603
39,['Darrell James Roodt'],34615
40,['Richard Loncraine'],31174
41,['Albert Hughes'],11443
42,['Michael Hoffman'],35196
43,['Paul W.S. Anderson'],9312
44,['Gus Van Sant'],577
45,['Jocelyn Moorhouse'],11861
46,['David Fincher'],807
47,['Mike Gabriel'],10530
48,['Patricia Rozema'],8391
49,['Bryan Singer'],629
50,['Richard W. Munchkin'],117164
51,['Woody Allen'],11448
52,['Gianni Amelio'],49133
53,['Holly Goldberg Sloan'],26441
54,['Ulu Grosbard'],97406
55,['Robert Tinnell'],124057
56,['Jodie Foster'],9089
57,['Michael Radford'],11010
58,['Robert Lepage'],99040
59,['Frank Oz'],11359
60,['John Schlesinger'],17182
61,['Stephen Herek'],2054
62,['Paris Barclay'],10607
63,['Bill Bennett'],19760
64,['Jason Bloom'],9536
65,['Farhad Mann'],11525
66,['James Foley'],40628
67,['Josiane Balasko'],4482
